amount,velocity_1h,distance_from_home_km,device_age_days,failed_attempts,hour,label
24.50,1,3.2,420,0,9,0
31.20,2,5.1,380,0,11,0
44.80,1,2.0,510,0,14,0
52.10,3,7.3,290,0,16,0
18.75,1,1.4,730,0,8,0
67.90,2,9.0,210,0,19,0
39.40,2,4.6,330,1,12,0
73.20,3,12.1,185,0,20,0
28.60,1,3.8,620,0,10,0
55.00,2,6.2,275,0,15,0
81.30,4,14.5,160,1,21,0
22.10,1,2.7,840,0,7,0
46.70,2,5.9,445,0,13,0
62.40,3,8.8,240,0,18,0
35.60,2,4.1,515,0,11,0
91.20,4,17.0,135,1,22,0
26.80,1,3.0,690,0,9,0
49.30,2,6.8,360,0,14,0
58.70,3,9.6,225,0,17,0
33.90,1,4.4,480,0,12,0
76.50,3,13.2,195,1,20,0
20.30,1,1.9,910,0,8,0
42.60,2,5.4,405,0,13,0
69.80,3,10.5,205,0,19,0
30.10,2,3.7,560,0,10,0
84.40,4,15.1,150,1,21,0
37.20,1,4.9,470,0,12,0
51.80,2,7.0,315,0,15,0
64.10,3,9.2,255,0,18,0
23.70,1,2.4,780,0,9,0
47.90,2,6.1,395,0,14,0
71.30,3,11.8,215,0,19,0
29.40,1,3.5,600,0,10,0
59.20,3,8.4,265,0,17,0
40.80,2,5.0,430,0,13,0
88.60,4,16.2,145,1,22,0
25.90,1,2.9,710,0,8,0
53.40,2,7.6,305,0,16,0
66.80,3,10.0,235,0,18,0
34.70,2,4.3,530,0,11,0
1499.00,18,822.0,2,7,3,1
980.50,13,415.0,4,5,2,1
12.20,21,96.0,1,9,4,1
